Restaurant,Address,Relative Rating,Objective Rating
Pana Food Truck,"2738 mission st, 118 cooper st, Santa Cruz, CA 95060",5.6,7.2
Mosaic,"110 Church St, Santa Cruz, CA 95060",5.2,7.8
Belly Goat Craft Burger,"725 Front St, Santa Cruz, CA 95060",6.5,9.0
Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062",6.3,8.8
Mission St BBQ,"1618 Mission St, Santa Cruz, CA 95060",5.5,8.4
Sushi Totoro,"1701 Mission St, Santa Cruz, CA 95060",3.7,4.8
@ Thai Recipe,"2106A Mission St, Santa Cruz, CA 95060",4.2,5.8
Flash Bird,"725 Front St Suite 102, Santa Cruz, CA 95060",5.9,7.8
Nick the Greek,"1133 Pacific Ave, Santa Cruz, CA 95060",5.4,6.9
Arslans Turkish Street Food,"113 Walnut Ave, Santa Cruz, CA 95060",5.7,7.4
Los Pinos,"2019 N Pacific Ave, Santa Cruz, CA 95060",6.1,8.3
Taqueria Los Pericos,"139 Water St, Santa Cruz, CA 95060",6.0,8.1
Taqueria Santa Cruz #2,"1002 Soquel Ave, Santa Cruz, CA 95062",5.6,7.4
Betty's Eat Inn,"1222 Pacific Ave, Santa Cruz, CA 95060",5.7,7.5
Copal,"1203 Mission St, Santa Cruz, CA 95060",5.3,8.0
Cafe Brazil,"1410 Mission St, Santa Cruz, CA 95060",5.6,7.3
Poke House,"1543 Pacific Ave, Santa Cruz, CA 95060",5.5,7.0
Los Viejones,"236 Ocean St, Santa Cruz, CA 95060",5.5,7.2
Special Noodle,"415 Ocean St, Santa Cruz, CA 95060",6.0,9.4
Sesame Korean Grill,"435 Front St, Santa Cruz, CA 95060",4.4,6.2
Achilles by the Sea,"1404 Soquel Ave, Santa Cruz, CA 95062",5.4,7.0
Laili,"101 Cooper St, Santa Cruz, CA 95060",5.3,8.0
Chubbs Chicken,"766 Chestnut St, Santa Cruz, CA 95060",5.7,7.5
Samba Rock Açaí Cafe,"291 Water St, Santa Cruz, CA 95060",6.0,8.0
Gobi Mongolian BBQ,"1308 Pacific Ave, Santa Cruz, CA 95060",5.9,7.8
Royal Taj,"270 Soquel Ave, Santa Cruz, CA 95062",6.2,8.6
Lago di Como,"21490 E Cliff Dr, Santa Cruz, CA 95062",6.0,9.4
East End Gastropub,"1501 41st Ave Suite I, Capitola, CA 95010",5.7,8.9
Bantam,"1010 Fair Ave, Santa Cruz, CA 95060",5.6,8.6
Steamer Lane Supply,"644-670 W Cliff Dr, Santa Cruz, CA 95060",6.4,8.9
Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA 95060",6.2,8.5
San Ho Won,"2170 Bryant St, San Francisco, CA 94110",7.1,9.4
Telefèric Barcelona,"50 University Ave B270, Los Gatos, CA 95030",5.2,9.3
Kin Khao,"55 Cyril Magnin St, San Francisco, CA 94102",8.6,9.6
